1	6861
34916	54690
71241	80563
118388	119140
134273	149362
157078	158558
160837	222073
226362	229986
230893	235024
237892	243337
243734	246550
250649	252118
261577	272609
276135	279220
286840	330368
332212	348489
350025	367886
386207	457465
458878	588502
591835	601711
604431	673047
682682	707870
751259	752588
753540	757728
758085	817124
866623	872093
872619	874000
876855	878270
883803	888421
888818	889546
892050	902702
904393	954716
957904	1099051
1099729	1100372
1101810	1272489
1279884	1285658
1292609	2221594
2268631	2269500
2271638	2915399
2927437	3158017
3158293	3166432
3171576	3175088
3175596	3252521
3257715	3260275
3266895	3270399
3288417	3288423
3291207	3301669
3355034	3356772
3410965	3479513
3498966	3542947
3558661	4050139
4157486	4252251
4254808	4303856
4312057	4421326
4430120	4660026
4664510	4665794
4668694	4698194
4700802	4706717
4713489	4915370
4935577	5299593
5341989	5669779
5678525	5723149
5753334	5767040
5775698	5823086
5824526	5854032
5857353	5859513
5861799	5862668
5863170	5882352
5941178	5941598
5944301	5961131
5986131	5994776
5995074	5996118
5998867	5999573
6000515	6042658
6048965	6060296
6080412	6093215
6109043	6116366
6140616	6163077
6181573	6185960
6191505	6195596
6197180	6198033
6200857	6209539
6214133	6219246
6228208	6237424
6253990	6410415
6422006	6595386
6606325	6671397
6715118	6718850
6724114	6730371
6747951	6766102
6778346	6780561
6790309	6790972
6797526	6832118
6836524	6840017
6842996	6888136
6911634	6932171
6941719	6959565
6964531	6966666
6977069	6988538
6997025	7047679
7047911	7048466
7051802	7086628
7088033	7103086
7110723	7111955
7118160	7121053
7125782	7140236
7152349	7175013
7190350	7196935
7200529	7204600
7213008	7214012
7215996	7392785
7435511	7435907
7436531	7436592
7440074	7453055
7473057	7497299
7501169	7664568
7671148	7711765
7717578	7725687
7726210	7733294
7733775	8208792
8224191	8226757
8232967	8233475
8249399	8249718
8252693	8259698
8288932	8293490
8299913	8300352
8338335	8392447
8409581	8449214
8462201	8503833
8510537	8581033
8599438	8603996
8614957	9078922
9141719	9167110
9174474	9175381
9175628	9177648
9186099	9244163
9255664	9263692
9273884	9391605
9465035	9472506
9485776	9490921
9529648	9529993
9530506	9530715
9533294	9534749
9545727	9555526
9564005	9602316
9638754	9664594
9670410	9672966
9678177	9693379
9705991	9741766
9783511	9787346
9817601	9817786
9819121	9854598
9882305	9988126
10005362	10040216
10050778	10053790
10056141	10312335
10322209	10382813
10387004	10393166
10400832	10428359
10457230	10694934
10714561	10782247
10816501	10941886
10969714	11745079
11815423	12543585
