112124	112399
113083	113175
113596	113941
114015	114124
115260	115394
116338	116468
116777	116892
129183	129210
134407	134559
134816	134858
135219	135324
135411	135480
136579	136756
136843	136940
137159	137240
137803	137956
138085	138204
138558	138633
138908	138969
139820	139898
139997	140116
141003	141161
151129	151181
151610	151685
152956	153084
153688	154185
155388	155597
156479	156577
157291	157437
159190	159330
160230	160286
162108	162227
163705	163833
164828	164911
165225	165287
165455	165553
166923	167021
167355	167408
168167	168232
169059	169127
170138	170215
170824	171027
172272	172337
175930	176031
177592	177648
206860	206971
207090	207308
209360	209426
211679	211863
214066	214118
215188	215256
217638	217758
218445	218601
220542	220683
221030	221200
221789	221968
222495	222657
223094	223787
293214	293247
295888	295985
296750	296934
297195	297622
298814	299367
307180	307437
308504	308776
381608	381714
382399	382486
382821	383142
383573	383703
384800	385024
385629	385741
386140	386203
388447	388534
388623	388699
389351	389404
390087	390227
390943	391020
391879	391964
392047	392112
392201	392283
392992	393130
394517	394729
395558	395615
396336	396399
396969	397152
397369	397459
398278	398418
398920	399060
399148	399258
400092	400202
402216	402320
402466	402561
402935	403067
403724	403929
667150	667322
668222	668367
670653	670834
671652	672753
774549	775727
980216	980287
980989	981087
981750	981944
1032217	1033110
1078017	1078118
1079366	1079548
1080130	1080314
1080851	1081025
1081294	1081388
1137058	1137180
1139512	1139799
1141098	1141142
1141996	1142082
1148548	1148596
1148807	1148918
1149387	1149407
1149949	1150003
1150952	1150989
1151344	1151622
1151856	1151904
1151967	1152884
1154961	1155049
1156538	1156775
1157770	1157867
1158444	1158507
1158645	1158781
1159167	1159238
1159817	1159910
1160600	1160643
1161436	1161656
1162236	1164867
1164896	1166316
1166550	1167507
1210184	1210269
1210450	1210788
1219202	1220900
1342949	1343031
1344668	1344774
1345474	1345585
1346483	1346676
1347382	1347524
1369944	1370160
1371569	1371702
1372795	1372958
1373296	1373461
1373794	1373931
1374207	1374344
1374692	1374785
1375048	1375178
1375439	1375609
1375853	1375995
1376839	1377064
1377852	1377971
1378658	1378837
1380058	1380747
1382372	1382472
1382631	1382733
1383666	1383832
1384993	1385138
1386585	1386688
1386906	1387019
1387966	1389840
1610686	1610807
1615033	1615119
1620506	1620575
1622395	1622493
1627665	1627804
1630837	1630915
1631901	1631975
1633283	1633389
1634241	1634394
1665923	1666416
1666537	1667038
1773910	1774132
1777484	1777588
1778366	1778541
1778883	1778988
1779280	1779489
1779525	1779726
1780205	1780278
1781008	1781203
1781487	1781652
1782288	1782393
1783191	1783232
1783511	1784256
1785543	1785722
1787054	1787272
1787734	1787856
1788296	1788446
1789826	1789977
1790576	1790767
1938950	1938955
1940724	1940786
1948339	1948405
1978209	1978606
2018420	2018514
2018536	2018715
2021334	2021406
2021964	2022158
2023152	2023233
2024005	2024139
2024925	2025083
2025315	2025620
2026782	2026903
2028111	2028234
2029244	2029423
2030043	2030135
2030298	2030427
2030815	2030939
